taxonomic_chain,nmol
Viridiplantae-Streptophyta-Magnoliopsida-Cucurbitales-Cucurbitaceae-Citrullus-Citrullus lanatus,1532
Viridiplantae-Streptophyta-Magnoliopsida-Brassicales-Brassicaceae-Arabidopsis-Arabidopsis thaliana,1387
Viridiplantae-Streptophyta-Magnoliopsida-Apiales-Araliaceae-Panax-Panax ginseng,1278
Pseudomonadati-Pseudomonadota-Gammaproteobacteria-Enterobacterales-Enterobacteriaceae-Escherichia-Escherichia coli,1173
Viridiplantae-Streptophyta-Magnoliopsida-Zingiberales-Zingiberaceae-Zingiber-Zingiber officinale,1141
Viridiplantae-Streptophyta-Magnoliopsida-Solanales-Solanaceae-Capsicum-Capsicum annuum,1053
Viridiplantae-Streptophyta-Magnoliopsida-Celastrales-Celastraceae-Tripterygium-Tripterygium wilfordii,982
Viridiplantae-Streptophyta-Magnoliopsida-Sapindales-Rutaceae-Citrus-Citrus reticulata,981
Metazoa-Nematoda-Chromadorea-Rhabditida-Rhabditidae-Caenorhabditis-Caenorhabditis elegans,963
Fungi-Basidiomycota-Agaricomycetes-Polyporales-Polyporaceae-Ganoderma-Ganoderma lucidum,958
Viridiplantae-Streptophyta-Magnoliopsida-Vitales-Vitaceae-Vitis-Vitis vinifera,956
Viridiplantae-Streptophyta-Magnoliopsida-Solanales-Solanaceae-Nicotiana-Nicotiana tabacum,940
Viridiplantae-Streptophyta-Magnoliopsida-Ericales-Theaceae-Camellia-Camellia sinensis,930
Viridiplantae-Streptophyta-Magnoliopsida-Fabales-Fabaceae-Phaseolus-Phaseolus vulgaris,822
Viridiplantae-Streptophyta-Magnoliopsida-Apiales-Apiaceae-Daucus-Daucus carota,793
Viridiplantae-Streptophyta-Magnoliopsida-Rosales-Cannabaceae-Humulus-Humulus lupulus,784
Viridiplantae-Streptophyta-Magnoliopsida-Apiales-Apiaceae-Angelica-Angelica sinensis,763
Viridiplantae-Streptophyta-Magnoliopsida-Apiales-Apiaceae-Anethum-Foeniculum vulgare,758
Viridiplantae-Streptophyta-Magnoliopsida-Fabales-Fabaceae-Glycyrrhiza-Glycyrrhiza uralensis,735
Viridiplantae-Streptophyta-Magnoliopsida-Sapindales-Meliaceae-Melia-Melia azedarach,696
Viridiplantae-Streptophyta-Magnoliopsida-Sapindales-Rutaceae-Murraya-Murraya paniculata,656
Fungi-Ascomycota-Saccharomycetes-Saccharomycetales-Saccharomycetaceae-Saccharomyces-Saccharomyces cerevisiae,637
Viridiplantae-Streptophyta-Magnoliopsida-Lamiales-Lamiaceae-Salvia-Salvia officinalis,618
Viridiplantae-Streptophyta-Magnoliopsida-Apiales-Apiaceae-Angelica-Angelica acutiloba,586
Viridiplantae-Streptophyta-Magnoliopsida-Asterales-Asteraceae-Artemisia-Artemisia annua,580
Viridiplantae-Streptophyta-Magnoliopsida-Austrobaileyales-Schisandraceae-Schisandra-Schisandra chinensis,571
Fungi-Ascomycota-Eurotiomycetes-Eurotiales-Aspergillaceae-Aspergillus-Aspergillus fumigatus,571
Viridiplantae-Streptophyta-Magnoliopsida-Sapindales-Rutaceae-Citrus-Citrus medica,565
Viridiplantae-Streptophyta-Ginkgoopsida-Ginkgoales-Ginkgoaceae-Ginkgo-Ginkgo biloba,565
Viridiplantae-Streptophyta-Magnoliopsida-Zingiberales-Zingiberaceae-Curcuma-Curcuma longa,562
Viridiplantae-Streptophyta-Magnoliopsida-Rosales-Cannabaceae-Cannabis-Cannabis sativa,557
Viridiplantae-Streptophyta-Magnoliopsida-Magnoliales-Annonaceae-Annona-Annona squamosa,548
Viridiplantae-Streptophyta-Magnoliopsida-Lamiales-Lamiaceae-Perilla-Perilla frutescens,544
Viridiplantae-Streptophyta-Magnoliopsida-Asterales-Asteraceae-Chrysanthemum-Chrysanthemum x morifolium,543
Viridiplantae-Streptophyta-Magnoliopsida-Dipsacales-Caprifoliaceae-Valeriana-Valeriana officinalis,542
Viridiplantae-Streptophyta-Magnoliopsida-Piperales-Piperaceae-Piper-Piper nigrum,540
Viridiplantae-Streptophyta-Magnoliopsida-Apiales-Apiaceae-Angelica-Angelica gigas,537
Viridiplantae-Streptophyta-Magnoliopsida-Gentianales-Apocynaceae-Catharanthus-Catharanthus roseus,534
Bacillati-Cyanobacteriota-Cyanophyceae-Oscillatoriales-Microcoleaceae-Lyngbya-Lyngbya majuscula,525
Fungi-Ascomycota-Eurotiomycetes-Eurotiales-Aspergillaceae-Aspergillus-Aspergillus versicolor,517
Viridiplantae-Streptophyta-Pinopsida-Cupressales-Taxaceae-Taxus-Taxus wallichiana,515
Viridiplantae-Streptophyta-Magnoliopsida-Fabales-Fabaceae-Sophora-Sophora flavescens,515
Bacillati-Cyanobacteriota-Cyanophyceae-Chroococcales-Microcystaceae-Microcystis-Microcystis aeruginosa,506
Viridiplantae-Streptophyta-Magnoliopsida-Apiales-Araliaceae-Panax-Panax notoginseng,505
Fungi-Ascomycota-Eurotiomycetes-Eurotiales-Aspergillaceae-Aspergillus-Aspergillus terreus,495
Viridiplantae-Streptophyta-Magnoliopsida-Asterales-Asteraceae-Chrysanthemum-Chrysanthemum indicum,493
Viridiplantae-Streptophyta-Magnoliopsida-Myrtales-Myrtaceae-Psidium-Psidium guajava,490
Viridiplantae-Streptophyta-Magnoliopsida-Myrtales-Myrtaceae-Eucalyptus-Eucalyptus globulus,478
Viridiplantae-Streptophyta-Magnoliopsida-Sapindales-Simaroubaceae-Brucea-Brucea javanica,477
Viridiplantae-Streptophyta-Magnoliopsida-Sapindales-Meliaceae-Azadirachta-Azadirachta indica,472
Viridiplantae-Streptophyta-Magnoliopsida-Rosales-Rosaceae-Pseudocydonia-Chaenomeles sinensis,471
Viridiplantae-Streptophyta-Magnoliopsida-Apiales-Apiaceae-Apium-Apium graveolens,470
Viridiplantae-Streptophyta-Magnoliopsida-Asparagales-Asphodelaceae-Aloe-Aloe vera,469
Viridiplantae-Streptophyta-Magnoliopsida-Lamiales-Lamiaceae-Salvia-Rosmarinus officinalis,463
Viridiplantae-Streptophyta-Magnoliopsida-Magnoliales-Annonaceae-Annona-Annona muricata,459
Bacillati-Actinomycetota-Actinomycetes-Kitasatosporales-Streptomycetaceae-Streptomyces-Streptomyces hygroscopicus,455
Fungi-Ascomycota-Sordariomycetes-Sordariales-Chaetomiaceae-Chaetomium-Chaetomium globosum,450
Viridiplantae-Streptophyta-Magnoliopsida-Asterales-Asteraceae-Atractylodes-Atractylodes lancea,445
Viridiplantae-Streptophyta-Magnoliopsida-Lamiales-Lamiaceae-Thymus-Thymus vulgaris,443
Viridiplantae-Streptophyta-Magnoliopsida-Sapindales-Rutaceae-Citrus-Citrus sinensis,442
Viridiplantae-Streptophyta-Magnoliopsida-Asparagales-Amaryllidaceae-Allium-Allium cepa,440
Viridiplantae-Streptophyta-Magnoliopsida-Saxifragales-Paeoniaceae-Paeonia-Paeonia lactiflora,435
Viridiplantae-Streptophyta-Magnoliopsida-Proteales-Nelumbonaceae-Nelumbo-Nelumbo nucifera,432
Viridiplantae-Streptophyta-Magnoliopsida-Sapindales-Rutaceae-Zanthoxylum-Zanthoxylum bungeanum,429
Viridiplantae-Streptophyta-Magnoliopsida-Rosales-Rosaceae-Prunus-Prunus avium,428
Viridiplantae-Streptophyta-Pinopsida-Cupressales-Cupressaceae-Cryptomeria-Cryptomeria japonica,426
Viridiplantae-Streptophyta-Magnoliopsida-Asterales-Asteraceae-Carthamus-Carthamus tinctorius,419
Viridiplantae-Streptophyta-Magnoliopsida-Myrtales-Myrtaceae-Syzygium-Syzygium aromaticum,414
Viridiplantae-Streptophyta-Magnoliopsida-Piperales-Saururaceae-Houttuynia-Houttuynia cordata,414
Viridiplantae-Streptophyta-Magnoliopsida-Malpighiales-Phyllanthaceae-Emblica-Phyllanthus emblica,412
Viridiplantae-Streptophyta-Magnoliopsida-Lamiales-Lamiaceae-Salvia-Salvia miltiorrhiza,411
Viridiplantae-Streptophyta-Magnoliopsida-Magnoliales-Magnoliaceae-Magnolia-Magnolia officinalis,410
Viridiplantae-Streptophyta-Pinopsida-Cupressales-Taxaceae-Taxus-Taxus cuspidata,406
Viridiplantae-Streptophyta-Magnoliopsida-Poales-Cyperaceae-Cyperus-Cyperus rotundus,406
Viridiplantae-Streptophyta-Magnoliopsida-Acorales-Acoraceae-Acorus-Acorus calamus,405
Viridiplantae-Streptophyta-Magnoliopsida-Lamiales-Lamiaceae-Pogostemon-Pogostemon cablin,403
Viridiplantae-Streptophyta-Magnoliopsida-Lamiales-Orobanchaceae-Rehmannia-Rehmannia glutinosa,401
Viridiplantae-Streptophyta-Magnoliopsida-Myrtales-Lythraceae-Punica-Punica granatum,399
Viridiplantae-Streptophyta-Magnoliopsida-Cucurbitales-Cucurbitaceae-Gynostemma-Gynostemma pentaphyllum,399
Viridiplantae-Streptophyta-Magnoliopsida-Fabales-Fabaceae-Glycyrrhiza-Glycyrrhiza glabra,398
Viridiplantae-Streptophyta-Magnoliopsida-Caryophyllales-Chenopodiaceae-Beta-Beta vulgaris,396
Viridiplantae-Streptophyta-Magnoliopsida-Myrtales-Myrtaceae-Eucalyptus-Eucalyptus camaldulensis,395
Viridiplantae-Streptophyta-Magnoliopsida-Rosales-Rosaceae-Prunus-Prunus persica,394
Viridiplantae-Streptophyta-Magnoliopsida-Brassicales-Brassicaceae-Isatis-Isatis tinctoria,392
Viridiplantae-Streptophyta-Magnoliopsida-Asterales-Asteraceae-Artemisia-Artemisia princeps,392
Viridiplantae-Streptophyta-Magnoliopsida-Gentianales-Rubiaceae-Morinda-Morinda citrifolia,388
Viridiplantae-Streptophyta-Magnoliopsida-Rosales-Rhamnaceae-Ziziphus-Ziziphus jujuba,387
Viridiplantae-Streptophyta-Magnoliopsida-Asterales-Asteraceae-Artemisia-Artemisia montana,376
Viridiplantae-Streptophyta-Magnoliopsida-Cucurbitales-Cucurbitaceae-Momordica-Momordica charantia,376
Viridiplantae-Streptophyta-Magnoliopsida-Lamiales-Lamiaceae-Scutellaria-Scutellaria barbata,375
Viridiplantae-Streptophyta-Magnoliopsida-Asparagales-Amaryllidaceae-Allium-Allium sativum,375
Viridiplantae-Streptophyta-Gnetopsida-Ephedrales-Ephedraceae-Ephedra-Ephedra sinica,374
Viridiplantae-Streptophyta-Pinopsida-Cupressales-Taxaceae-Taxus-Taxus baccata,372
Viridiplantae-Streptophyta-Magnoliopsida-Brassicales-Brassicaceae-Raphanus-Raphanus sativus,371
Viridiplantae-Streptophyta-Magnoliopsida-Sapindales-Rutaceae-Citrus-Citrus aurantium,368
Viridiplantae-Streptophyta-Magnoliopsida-Sapindales-Meliaceae-Xylocarpus-Xylocarpus granatum,368
Viridiplantae-Streptophyta-Magnoliopsida-Sapindales-Rutaceae-Citrus-Citrus maxima,366
Viridiplantae-Streptophyta-Magnoliopsida-Brassicales-Caricaceae-Carica-Carica papaya,364
Viridiplantae-Streptophyta-Magnoliopsida-Apiales-Apiaceae-Glehnia-Glehnia littoralis,364
Viridiplantae-Streptophyta-Magnoliopsida-Laurales-Lauraceae-Cinnamomum-Cinnamomum aromaticum,363
Viridiplantae-Streptophyta-Magnoliopsida-Fabales-Fabaceae-Glycine-Glycine max,362
Metazoa-Cnidaria-Anthozoa-Scleralcyonacea-Briareidae-Briareum-Briareum asbestinum,361
Bacillati-Actinomycetota-Actinomycetes-Kitasatosporales-Streptomycetaceae-Streptomyces-Streptomyces fradiae,360
Viridiplantae-Streptophyta-Magnoliopsida-Caryophyllales-Chenopodiaceae-Spinacia-Spinacia oleracea,355
Viridiplantae-Streptophyta-Magnoliopsida-Fabales-Fabaceae-Trigonella-Trigonella foenum-graecum,355
Viridiplantae-Streptophyta-Magnoliopsida-Asterales-Asteraceae-Artemisia-Artemisia apiacea,354
Viridiplantae-Streptophyta-Magnoliopsida-Gentianales-Apocynaceae-Rauvolfia-Rauvolfia vomitoria,354
Viridiplantae-Streptophyta-Magnoliopsida-Ranunculales-Papaveraceae-Papaver-Papaver somniferum,349
Viridiplantae-Streptophyta-Magnoliopsida-Malpighiales-Hypericaceae-Hypericum-Hypericum japonicum,349
Viridiplantae-Streptophyta-Magnoliopsida-Apiales-Apiaceae-Pastinaca-Pastinaca sativa,347
Fungi-Ascomycota-Leotiomycetes-Helotiales-Sclerotiniaceae-Botrytis-Botrytis cinerea,344
Bacillati-Actinomycetota-Actinomycetes-Kitasatosporales-Streptomycetaceae-Streptomyces-Streptomyces griseus,343
Viridiplantae-Streptophyta-Magnoliopsida-Lamiales-Lamiaceae-Scutellaria-Scutellaria baicalensis,341
Viridiplantae-Streptophyta-Pinopsida-Pinales-Pinaceae-Picea-Picea abies,341
Viridiplantae-Streptophyta-Magnoliopsida-Lamiales-Lamiaceae-Mosla-Mosla chinensis,340
Viridiplantae-Streptophyta-Magnoliopsida-Lamiales-Lamiaceae-Mentha-Mentha arvensis,339
Viridiplantae-Streptophyta-Magnoliopsida-Asterales-Asteraceae-Cichorium-Cichorium intybus,337
Fungi-Ascomycota-Eurotiomycetes-Eurotiales-Aspergillaceae-Penicillium-Penicillium chrysogenum,334
Viridiplantae-Streptophyta-Magnoliopsida-Asparagales-Asphodelaceae-Aloe-Aloe ferox,334
Viridiplantae-Streptophyta-Magnoliopsida-Myrtales-Myrtaceae-Eucalyptus-Eucalyptus melliodora,333
Viridiplantae-Streptophyta-Magnoliopsida-Apiales-Apiaceae-Hansenia-Hansenia weberbaueriana,332
